chrs,names,ids
chr1,FAM41C,ENSG00000230368
chr1,TUBB8P11,ENSG00000234711
chr1,ENSG00000283040,ENSG00000283040
chr1,ENSG00000272438,ENSG00000272438
chr1,ENSG00000230699,ENSG00000230699
chr1,ENSG00000241180,ENSG00000241180
chr1,LINC02593,ENSG00000223764
chr1,SAMD11,ENSG00000187634
chr1,NOC2L,ENSG00000188976
chr1,KLHL17,ENSG00000187961
chr1,PLEKHN1,ENSG00000187583
chr1,PERM1,ENSG00000187642
chr1,ENSG00000272512,ENSG00000272512
chr1,HES4,ENSG00000188290
chr1,ISG15,ENSG00000187608
chr1,ENSG00000231702,ENSG00000231702
chr1,ENSG00000224969,ENSG00000224969
chr1,AGRN,ENSG00000188157
chr1,ENSG00000242590,ENSG00000242590
chr1,ENSG00000291156,ENSG00000291156
chr1,ENSG00000273443,ENSG00000273443
chr1,ENSG00000217801,ENSG00000217801
chr1,RNF223,ENSG00000237330
chr1,C1orf159,ENSG00000131591
chr1,ENSG00000285812,ENSG00000285812
chr1,LINC01342,ENSG00000223823
chr1,MIR200B,ENSG00000207730
chr1,MIR200A,ENSG00000207607
chr1,MIR429,ENSG00000198976
chr1,ENSG00000272141,ENSG00000272141
chr1,TTLL10-AS1,ENSG00000205231
chr1,TTLL10,ENSG00000162571
chr1,TNFRSF18,ENSG00000186891
chr1,TNFRSF4,ENSG00000186827
chr1,SDF4,ENSG00000078808
chr1,B3GALT6,ENSG00000176022
chr1,C1QTNF12,ENSG00000184163
chr1,ENSG00000260179,ENSG00000260179
chr1,UBE2J2,ENSG00000160087
chr1,LINC01786,ENSG00000230415
chr1,SCNN1D,ENSG00000162572
chr1,ACAP3,ENSG00000131584
chr1,MIR6726,ENSG00000278073
chr1,PUSL1,ENSG00000169972
chr1,INTS11,ENSG00000127054
chr1,MIR6727,ENSG00000283712
chr1,ENSG00000240731,ENSG00000240731
chr1,CPTP,ENSG00000224051
chr1,TAS1R3,ENSG00000169962
chr1,DVL1,ENSG00000107404
chr1,MIR6808,ENSG00000284372
chr1,MXRA8,ENSG00000162576
chr1,AURKAIP1,ENSG00000175756
chr1,NDUFB4P8,ENSG00000223663
chr1,CCNL2,ENSG00000221978
chr1,MRPL20-AS1,ENSG00000224870
chr1,MRPL20,ENSG00000242485
chr1,RN7SL657P,ENSG00000264293
chr1,MRPL20-DT,ENSG00000272455
chr1,ANKRD65,ENSG00000235098
chr1,ANKRD65-AS1,ENSG00000225905
chr1,TMEM88B,ENSG00000205116
chr1,LINC01770,ENSG00000225285
chr1,VWA1,ENSG00000179403
chr1,ATAD3C,ENSG00000215915
chr1,ATAD3B,ENSG00000160072
chr1,ENSG00000290916,ENSG00000290916
chr1,ENSG00000284740,ENSG00000284740
chr1,ATAD3A,ENSG00000197785
chr1,TMEM240,ENSG00000205090
chr1,SSU72,ENSG00000160075
chr1,ENSG00000215014,ENSG00000215014
chr1,ENSG00000274481,ENSG00000274481
chr1,FNDC10,ENSG00000228594
chr1,ENSG00000286989,ENSG00000286989
chr1,ENSG00000272106,ENSG00000272106
chr1,MIB2,ENSG00000197530
chr1,MMP23B,ENSG00000189409
chr1,CDK11B,ENSG00000248333
chr1,ENSG00000272004,ENSG00000272004
chr1,SLC35E2B,ENSG00000189339
chr1,ENSG00000269737,ENSG00000269737
chr1,MMP23A,ENSG00000215914
chr1,CDK11A,ENSG00000008128
chr1,ENSG00000268575,ENSG00000268575
chr1,ENSG00000227775,ENSG00000227775
chr1,ENSG00000290854,ENSG00000290854
chr1,SLC35E2A,ENSG00000215790
chr1,NADK,ENSG00000008130
chr1,GNB1,ENSG00000078369
chr1,GNB1-DT,ENSG00000231050
chr1,CALML6,ENSG00000169885
chr1,TMEM52,ENSG00000178821
chr1,CFAP74,ENSG00000142609
chr1,ENSG00000233542,ENSG00000233542
chr1,GABRD,ENSG00000187730
chr1,PRKCZ-DT,ENSG00000226969
chr1,PRKCZ,ENSG00000067606
chr1,ENSG00000271806,ENSG00000271806
chr1,PRKCZ-AS1,ENSG00000182873
chr1,FAAP20,ENSG00000162585
chr1,ENSG00000234396,ENSG00000234396
chr1,SKI,ENSG00000157933
chr1,ENSG00000287356,ENSG00000287356
chr1,MORN1,ENSG00000116151
chr1,ENSG00000272161,ENSG00000272161
chr1,ENSG00000269896,ENSG00000269896
chr1,ENSG00000272420,ENSG00000272420
chr1,RER1,ENSG00000157916
chr1,PEX10,ENSG00000157911
chr1,PLCH2,ENSG00000149527
chr1,ENSG00000224387,ENSG00000224387
chr1,ENSG00000229393,ENSG00000229393
chr1,PANK4,ENSG00000157881
chr1,HES5,ENSG00000197921
chr1,ENSG00000272449,ENSG00000272449
chr1,TNFRSF14-AS1,ENSG00000238164
chr1,TNFRSF14,ENSG00000157873
chr1,ENSG00000225931,ENSG00000225931
chr1,ENSG00000228037,ENSG00000228037
chr1,ENSG00000289610,ENSG00000289610
chr1,PRXL2B,ENSG00000157870
chr1,MMEL1,ENSG00000142606
chr1,MMEL1-AS1,ENSG00000237058
chr1,TTC34,ENSG00000215912
chr1,ENSG00000285945,ENSG00000285945
chr1,ENSG00000283259,ENSG00000283259
chr1,ENSG00000233234,ENSG00000233234
chr1,ENSG00000287396,ENSG00000287396
chr1,ENSG00000231630,ENSG00000231630
chr1,ENSG00000284745,ENSG00000284745
chr1,ACTRT2,ENSG00000169717
chr1,PRDM16-DT,ENSG00000177133
chr1,PRDM16,ENSG00000142611
chr1,MIR4251,ENSG00000283572
chr1,ENSG00000226286,ENSG00000226286
chr1,ENSG00000279839,ENSG00000279839
chr1,ENSG00000272235,ENSG00000272235
chr1,ENSG00000287828,ENSG00000287828
chr1,ENSG00000286518,ENSG00000286518
chr1,ARHGEF16,ENSG00000130762
chr1,ENSG00000272088,ENSG00000272088
chr1,MEGF6,ENSG00000162591
chr1,MIR551A,ENSG00000207776
chr1,ENSG00000238260,ENSG00000238260
chr1,TPRG1L,ENSG00000158109
chr1,WRAP73,ENSG00000116213
chr1,TP73,ENSG00000078900
chr1,TP73-AS3,ENSG00000227589
chr1,TP73-AS2,ENSG00000235131
chr1,TP73-AS1,ENSG00000227372
chr1,ENSG00000276189,ENSG00000276189
chr1,CCDC27,ENSG00000162592
chr1,SMIM1,ENSG00000235169
chr1,LRRC47,ENSG00000130764
chr1,RN7SL574P,ENSG00000266075
chr1,ENSG00000272153,ENSG00000272153
chr1,CEP104,ENSG00000116198
chr1,DFFB,ENSG00000169598
chr1,C1orf174,ENSG00000198912
chr1,LINC01134,ENSG00000236423
chr1,LINC01346,ENSG00000233304
chr1,LINC01345,ENSG00000226374
chr1,LINC02780,ENSG00000284668
chr1,ENSG00000284703,ENSG00000284703
chr1,EEF1DP6,ENSG00000229280
chr1,LINC01777,ENSG00000235054
chr1,ENSG00000284694,ENSG00000284694
chr1,ENSG00000227169,ENSG00000227169
chr1,LINC01646,ENSG00000232596
chr1,AJAP1,ENSG00000196581
chr1,ENSG00000287586,ENSG00000287586
chr1,ENSG00000284739,ENSG00000284739
chr1,LINC02781,ENSG00000284674
chr1,LINC02782,ENSG00000231510
chr1,ENSG00000284616,ENSG00000284616
chr1,ENSG00000284692,ENSG00000284692
chr1,ENSG00000284666,ENSG00000284666
chr1,ENSG00000260972,ENSG00000260972
chr1,ENSG00000283356,ENSG00000283356
chr1,ENSG00000236948,ENSG00000236948
chr1,ENSG00000264341,ENSG00000264341
chr1,ENSG00000289893,ENSG00000289893
chr1,MIR4689,ENSG00000264101
chr1,NPHP4,ENSG00000131697
chr1,KCNAB2,ENSG00000069424
chr1,CHD5,ENSG00000116254
chr1,ENSG00000285629,ENSG00000285629
chr1,RPL22,ENSG00000116251
chr1,RNF207-AS1,ENSG00000226944
chr1,RNF207,ENSG00000158286
chr1,ICMT,ENSG00000116237
chr1,ICMT-DT,ENSG00000225077
chr1,HES3,ENSG00000173673
chr1,GPR153,ENSG00000158292
chr1,ACOT7,ENSG00000097021
chr1,ENSG00000271746,ENSG00000271746
chr1,HES2,ENSG00000069812
chr1,ESPN,ENSG00000187017
chr1,MIR4252,ENSG00000265392
chr1,ENSG00000231868,ENSG00000231868
chr1,TNFRSF25,ENSG00000215788
chr1,PLEKHG5,ENSG00000171680
chr1,NOL9,ENSG00000162408
chr1,RNU6-731P,ENSG00000253022
chr1,ENSG00000229519,ENSG00000229519
chr1,TAS1R1,ENSG00000173662
chr1,ZBTB48,ENSG00000204859
chr1,KLHL21,ENSG00000162413
chr1,PHF13,ENSG00000116273
chr1,THAP3,ENSG00000041988
chr1,DNAJC11,ENSG00000007923
chr1,LINC01672,ENSG00000228750
chr1,ENSG00000284744,ENSG00000284744
chr1,CAMTA1-DT,ENSG00000237436
chr1,CAMTA1,ENSG00000171735
chr1,ENSG00000227950,ENSG00000227950
chr1,ENSG00000237365,ENSG00000237365
chr1,RNU1-8P,ENSG00000207056
chr1,CAMTA1-IT1,ENSG00000237402
chr1,CAMTA1-AS2,ENSG00000237728
chr1,CAMTA1-AS1,ENSG00000225126
chr1,ENSG00000270171,ENSG00000270171
chr1,ENSG00000270035,ENSG00000270035
chr1,ENSG00000269978,ENSG00000269978
chr1,VAMP3,ENSG00000049245
chr1,ENSG00000269925,ENSG00000269925
chr1,PER3,ENSG00000049246
chr1,ENSG00000236266,ENSG00000236266
chr1,UTS2,ENSG00000049247
chr1,TNFRSF9,ENSG00000049249
chr1,ENSG00000270330,ENSG00000270330
chr1,PARK7,ENSG00000116288
chr1,Y_RNA,ENSG00000200344
chr1,ENSG00000284747,ENSG00000284747
chr1,ENSG00000284716,ENSG00000284716
chr1,ERRFI1,ENSG00000116285
chr1,ERRFI1-DT,ENSG00000238290
chr1,RPL7AP18,ENSG00000232848
chr1,ENSG00000229305,ENSG00000229305
chr1,ENSG00000288816,ENSG00000288816
chr1,LINC01714,ENSG00000227634
chr1,RNU1-7P,ENSG00000200975
chr1,ENSG00000233645,ENSG00000233645
chr1,RNU6-991P,ENSG00000251977
chr1,SLC45A1,ENSG00000162426
chr1,RERE,ENSG00000142599
chr1,RERE-AS1,ENSG00000232912
chr1,ENSG00000221083,ENSG00000221083
chr1,ENSG00000270282,ENSG00000270282
chr1,RPL7P11,ENSG00000234619
chr1,RPL7P7,ENSG00000224315
chr1,ENSG00000226545,ENSG00000226545
chr1,ENSG00000228423,ENSG00000228423
chr1,RPL23AP19,ENSG00000229716
chr1,ENO1,ENSG00000074800
chr1,MIR6728,ENSG00000274258
chr1,ENO1-AS1,ENSG00000230679
chr1,RNU6-304P,ENSG00000201725
chr1,HMGN2P17,ENSG00000238249
chr1,ENSG00000232208,ENSG00000232208
chr1,ENSG00000232663,ENSG00000232663
chr1,CA6,ENSG00000131686
chr1,ENSG00000290109,ENSG00000290109
chr1,RN7SL451P,ENSG00000265141
chr1,SLC2A7,ENSG00000197241
chr1,SLC2A5,ENSG00000142583
chr1,ENSG00000252404,ENSG00000252404
chr1,GPR157,ENSG00000180758
chr1,MIR34AHG,ENSG00000228526
chr1,MIR34A,ENSG00000284357
chr1,ENSG00000289914,ENSG00000289914
chr1,LNCTAM34A,ENSG00000234546
chr1,H6PD,ENSG00000049239
chr1,SPSB1,ENSG00000171621
chr1,ENSG00000284652,ENSG00000284652
chr1,LINC02606,ENSG00000284693
chr1,RNA5SP40,ENSG00000252956
chr1,ENSG00000235263,ENSG00000235263
chr1,SLC25A33,ENSG00000171612
chr1,ENSG00000231181,ENSG00000231181
chr1,TMEM201,ENSG00000188807
chr1,PIK3CD,ENSG00000171608
chr1,PIK3CD-AS1,ENSG00000179840
chr1,ENSG00000233268,ENSG00000233268
chr1,PIK3CD-AS2,ENSG00000231789
chr1,CLSTN1,ENSG00000171603
chr1,MZT1P1,ENSG00000271264
chr1,ENSG00000280113,ENSG00000280113
chr1,CTNNBIP1,ENSG00000178585
chr1,ENSG00000223989,ENSG00000223989
chr1,ENSG00000285701,ENSG00000285701
chr1,LZIC,ENSG00000162441
chr1,ENSG00000228150,ENSG00000228150
chr1,NMNAT1,ENSG00000173614
chr1,RN7SKP269,ENSG00000202415
chr1,TMEM274P,ENSG00000283611
chr1,MIR5697,ENSG00000265521
chr1,ENSG00000241326,ENSG00000241326
chr1,RBP7,ENSG00000162444
chr1,UBE4B,ENSG00000130939
chr1,ENSG00000224340,ENSG00000224340
chr1,PGAM1P11,ENSG00000233623
chr1,RNU6-828P,ENSG00000201746
chr1,KIF1B,ENSG00000054523
chr1,ENSG00000264881,ENSG00000264881
chr1,RNU6-37P,ENSG00000199562
chr1,RN7SL731P,ENSG00000264501
chr1,ENSG00000284735,ENSG00000284735
chr1,ENSG00000284642,ENSG00000284642
chr1,PGD,ENSG00000142657
chr1,ENSG00000271989,ENSG00000271989
chr1,CENPS-CORT,ENSG00000251503
chr1,CENPS,ENSG00000175279
chr1,CORT,ENSG00000241563
chr1,DFFA,ENSG00000160049
chr1,ENSG00000203469,ENSG00000203469
chr1,PEX14,ENSG00000142655
chr1,ENSG00000287727,ENSG00000287727
chr1,RN7SL614P,ENSG00000243267
chr1,CASZ1,ENSG00000130940
chr1,ENSG00000272078,ENSG00000272078
chr1,HSPE1P24,ENSG00000225158
chr1,C1orf127,ENSG00000175262
chr1,CFL1P6,ENSG00000215785
chr1,TARDBP,ENSG00000120948
chr1,MASP2,ENSG00000009724
chr1,SRM,ENSG00000116649
chr1,EXOSC10,ENSG00000171824
chr1,ENSG00000226849,ENSG00000226849
chr1,EXOSC10-AS1,ENSG00000230337
chr1,MTOR,ENSG00000198793
chr1,MTOR-AS1,ENSG00000225602
chr1,RNU6-537P,ENSG00000253086
chr1,ANGPTL7,ENSG00000171819
chr1,RNU6-291P,ENSG00000207451
chr1,RPL39P6,ENSG00000238173
chr1,UBIAD1,ENSG00000120942
chr1,UBE2V2P3,ENSG00000238199
chr1,ENSG00000284646,ENSG00000284646
chr1,MTCYBP45,ENSG00000224338
chr1,DISP3,ENSG00000204624
chr1,ENSG00000285833,ENSG00000285833
chr1,LINC01647,ENSG00000235643
chr1,ENSG00000284708,ENSG00000284708
chr1,FBXO2,ENSG00000116661
chr1,FBXO44,ENSG00000132879
chr1,MAD2L2,ENSG00000116670
chr1,FBXO6,ENSG00000116663
chr1,DRAXIN,ENSG00000162490
chr1,AGTRAP,ENSG00000177674
chr1,C1orf167,ENSG00000215910
chr1,C1orf167-AS1,ENSG00000177553
chr1,MTHFR,ENSG00000177000
chr1,CLCN6,ENSG00000011021
chr1,ENSG00000276470,ENSG00000276470
chr1,ENSG00000278852,ENSG00000278852
chr1,NPPA,ENSG00000175206
chr1,ENSG00000275915,ENSG00000275915
chr1,NPPB,ENSG00000120937
chr1,SBF1P2,ENSG00000224904
chr1,ENSG00000285646,ENSG00000285646
chr1,RNU5E-1,ENSG00000199347
chr1,RNU5E-4P,ENSG00000201801
chr1,KIAA2013,ENSG00000116685
chr1,PLOD1,ENSG00000083444
chr1,ENSG00000287384,ENSG00000287384
chr1,MFN2,ENSG00000116688
chr1,ENSG00000270914,ENSG00000270914
chr1,MIIP,ENSG00000116691
chr1,MIR6729,ENSG00000276869
chr1,RN7SL649P,ENSG00000243539
chr1,TNFRSF8,ENSG00000120949
chr1,RNU6-777P,ENSG00000201135
chr1,RPL23AP89,ENSG00000227875
chr1,ENSG00000285604,ENSG00000285604
chr1,MIR7846,ENSG00000283789
chr1,TNFRSF1B,ENSG00000028137
chr1,MIR4632,ENSG00000263676
chr1,RPL10P17,ENSG00000225196
chr1,SNORA70,ENSG00000252969
chr1,VPS13D,ENSG00000048707
chr1,SNORA59A,ENSG00000239149
chr1,LINC02766,ENSG00000229484
chr1,DHRS3,ENSG00000162496
chr1,RNU6ATAC18P,ENSG00000221340
chr1,MIR6730,ENSG00000276830
chr1,ENSG00000288927,ENSG00000288927
chr1,ENSG00000272482,ENSG00000272482
chr1,AADACL4,ENSG00000204518
chr1,ENSG00000226166,ENSG00000226166
chr1,AADACL3,ENSG00000188984
chr1,CFAP107,ENSG00000157330
chr1,PRAMEF12,ENSG00000116726
chr1,PRAMEF1,ENSG00000116721
chr1,LINC01784,ENSG00000228338
chr1,PRAMEF11,ENSG00000239810
chr1,PRAMEF30P,ENSG00000231103
chr1,HNRNPCL1,ENSG00000179172
chr1,PRAMEF2,ENSG00000120952
chr1,PRAMEF4,ENSG00000243073
chr1,PRAMEF10,ENSG00000187545
chr1,PRAMEF7,ENSG00000204510
chr1,RNU6-1072P,ENSG00000207434
chr1,PRAMEF29P,ENSG00000234064
chr1,PRAMEF6,ENSG00000232423
chr1,PRAMEF28P,ENSG00000274178
chr1,PRAMEF27,ENSG00000274764
chr1,HNRNPCL3,ENSG00000277058
chr1,PRAMEF25,ENSG00000229571
chr1,PRAMEF34P,ENSG00000277862
chr1,PRAMEF35P,ENSG00000236179
chr1,HNRNPCL2,ENSG00000275774
chr1,PRAMEF36P,ENSG00000229978
chr1,ENSG00000290772,ENSG00000290772
chr1,ENSG00000233336,ENSG00000233336
chr1,PRAMEF26,ENSG00000280267
chr1,HNRNPCL4,ENSG00000179412
chr1,PRAMEF9,ENSG00000204505
chr1,PRAMEF13,ENSG00000279169
chr1,PRAMEF18,ENSG00000279804
chr1,PRAMEF31P,ENSG00000250894
chr1,PRAMEF5,ENSG00000270601
chr1,PRAMEF32P,ENSG00000231219
chr1,RNU6-771P,ENSG00000207511
chr1,PRAMEF8,ENSG00000182330
chr1,PRAMEF33,ENSG00000237700
chr1,PRAMEF15,ENSG00000204501
chr1,ENSG00000228229,ENSG00000228229
chr1,PRAMEF14,ENSG00000204481
chr1,PRAMEF19,ENSG00000204480
chr1,PRAMEF17,ENSG00000204479
chr1,PRAMEF20,ENSG00000204478
chr1,LRRC38,ENSG00000162494
chr1,ENSG00000259961,ENSG00000259961
chr1,BRWD1P1,ENSG00000215909
chr1,PDPN,ENSG00000162493
chr1,RNA5SP41,ENSG00000222952
chr1,ENSG00000237445,ENSG00000237445
chr1,ENSG00000253085,ENSG00000253085
chr1,PRDM2,ENSG00000116731
chr1,ENSG00000289380,ENSG00000289380
chr1,KAZN,ENSG00000189337
chr1,RNU6-1265P,ENSG00000252151
chr1,ENSG00000231606,ENSG00000231606
chr1,KAZN-AS1,ENSG00000234593
chr1,TBCAP2,ENSG00000235829
chr1,ENSG00000287756,ENSG00000287756
chr1,TMEM51-AS1,ENSG00000175147
chr1,TMEM51,ENSG00000171729
chr1,TMEM51-AS2,ENSG00000204464
chr1,MFFP1,ENSG00000215720
chr1,ZBTB2P1,ENSG00000278480
chr1,FHAD1,ENSG00000142621
chr1,FHAD1-AS1,ENSG00000233485
chr1,ENSG00000236045,ENSG00000236045
chr1,EFHD2-AS1,ENSG00000228140
chr1,EFHD2,ENSG00000142634
chr1,CTRC,ENSG00000162438
chr1,CELA2A,ENSG00000142615
chr1,CELA2B,ENSG00000215704
chr1,CASP9,ENSG00000132906
chr1,DNAJC16,ENSG00000116138
chr1,SCARNA21B,ENSG00000251866
chr1,ENSG00000272510,ENSG00000272510
chr1,AGMAT,ENSG00000116771
chr1,ENSG00000237301,ENSG00000237301
chr1,CHCHD2P6,ENSG00000235084
chr1,RNU7-179P,ENSG00000252417
chr1,CD24P1,ENSG00000236500
chr1,DDI2,ENSG00000197312
chr1,RSC1A1,ENSG00000215695
chr1,ENSG00000271742,ENSG00000271742
chr1,PLEKHM2,ENSG00000116786
chr1,ENSG00000237938,ENSG00000237938
chr1,SLC25A34,ENSG00000162461
chr1,SLC25A34-AS1,ENSG00000224459
chr1,TMEM82,ENSG00000162460
chr1,FBLIM1,ENSG00000162458
chr1,RPL12P14,ENSG00000224321
chr1,UQCRHL,ENSG00000233954
chr1,ENSG00000178715,ENSG00000178715
chr1,SPEN-AS1,ENSG00000179743
chr1,SPEN,ENSG00000065526
chr1,ENSG00000270620,ENSG00000270620
chr1,ZBTB17,ENSG00000116809
chr1,ENSG00000234607,ENSG00000234607
chr1,ENSG00000231353,ENSG00000231353
chr1,ENSG00000275503,ENSG00000275503
chr1,TBC1D3P6,ENSG00000224966
chr1,SRARP,ENSG00000183888
chr1,ENSG00000233078,ENSG00000233078
chr1,HSPB7,ENSG00000173641
chr1,CLCNKA,ENSG00000186510
chr1,FAM131C2P,ENSG00000232456
chr1,CLCNKB,ENSG00000184908
chr1,FAM131C,ENSG00000185519
chr1,EPHA2,ENSG00000142627
chr1,EPHA2-AS1,ENSG00000227959
chr1,ENSG00000224621,ENSG00000224621
chr1,ARHGEF19-AS1,ENSG00000234166
chr1,ARHGEF19,ENSG00000142632
chr1,ENSG00000291077,ENSG00000291077
chr1,ANO7L1,ENSG00000237276
chr1,ENSG00000288398,ENSG00000288398
chr1,CPLANE2,ENSG00000132881
chr1,MT1XP1,ENSG00000233929
chr1,FBXO42,ENSG00000037637
chr1,SZRD1,ENSG00000055070
chr1,RPL22P3,ENSG00000226457
chr1,SPATA21,ENSG00000187144
chr1,NECAP2,ENSG00000157191
chr1,LINC01772,ENSG00000226029
chr1,CROCCP3,ENSG00000290842
chr1,RNU1-1,ENSG00000206652
chr1,ENSG00000261135,ENSG00000261135
chr1,ENSG00000285853,ENSG00000285853
chr1,ENSG00000224174,ENSG00000224174
chr1,LINC01783,ENSG00000233421
chr1,RNU1-6P,ENSG00000277344
chr1,PDE4DIPP8,ENSG00000225710
chr1,NBPF1,ENSG00000219481
chr1,ENSG00000271732,ENSG00000271732
chr1,CROCCP2,ENSG00000291072
chr1,ENSG00000283773,ENSG00000283773
chr1,MST1P2,ENSG00000186301
chr1,ENSG00000282143,ENSG00000282143
chr1,RNU1-3,ENSG00000207513
chr1,ENSG00000280114,ENSG00000280114
chr1,EIF1AXP1,ENSG00000236698
chr1,ENSG00000290849,ENSG00000290849
chr1,ESPNP,ENSG00000268869
chr1,ENSG00000279151,ENSG00000279151
chr1,ENSG00000282740,ENSG00000282740
chr1,CROCC,ENSG00000058453
chr1,ENSG00000290850,ENSG00000290850
chr1,RNU1-4,ENSG00000207389
chr1,CROCCP4,ENSG00000227684
chr1,ENSG00000290851,ENSG00000290851
chr1,MST1L,ENSG00000186715
chr1,ENSG00000223643,ENSG00000223643
chr1,PDE4DIPP9,ENSG00000230239
chr1,MIR3675,ENSG00000263811
chr1,ENSG00000228549,ENSG00000228549
chr1,RNU1-5P,ENSG00000277234
chr1,ENSG00000238142,ENSG00000238142
chr1,ENSG00000235241,ENSG00000235241
chr1,RNU1-2,ENSG00000207005
chr1,ENSG00000272426,ENSG00000272426
chr1,ENSG00000290122,ENSG00000290122
chr1,MFAP2,ENSG00000117122
chr1,ENSG00000286898,ENSG00000286898
chr1,ENSG00000226526,ENSG00000226526
chr1,ATP13A2,ENSG00000159363
chr1,ENSG00000288636,ENSG00000288636
chr1,SDHB,ENSG00000117118
chr1,PADI2,ENSG00000117115
chr1,LINC02783,ENSG00000204362
chr1,ENSG00000282843,ENSG00000282843
chr1,PADI1,ENSG00000142623
chr1,PADI3,ENSG00000142619
chr1,MIR3972,ENSG00000266634
chr1,PADI4,ENSG00000159339
chr1,PADI6,ENSG00000276747
chr1,RCC2-AS1,ENSG00000227751
chr1,RCC2,ENSG00000179051
chr1,ENSG00000290096,ENSG00000290096
chr1,ARHGEF10L,ENSG00000074964
chr1,LINC02810,ENSG00000236648
chr1,ACTL8,ENSG00000117148
chr1,ENSG00000284653,ENSG00000284653
chr1,LINC01654,ENSG00000261781
chr1,IGSF21,ENSG00000117154
chr1,ENSG00000280222,ENSG00000280222
chr1,IGSF21-AS1,ENSG00000230035
chr1,ENSG00000225387,ENSG00000225387
chr1,KLHDC7A,ENSG00000179023
chr1,DYNLL1P3,ENSG00000235282
chr1,ENSG00000225478,ENSG00000225478
chr1,PAX7,ENSG00000009709
chr1,TAS1R2,ENSG00000179002
chr1,ALDH4A1,ENSG00000159423
chr1,MIR4695,ENSG00000265606
chr1,MIR1290,ENSG00000221662
chr1,IFFO2,ENSG00000169991
chr1,ENSG00000272084,ENSG00000272084
chr1,UBR4,ENSG00000127481
chr1,EMC1-AS1,ENSG00000230424
chr1,EMC1,ENSG00000127463
chr1,MRTO4,ENSG00000053372
chr1,ENSG00000286064,ENSG00000286064
chr1,AKR7L,ENSG00000211454
chr1,AKR7A3,ENSG00000162482
chr1,ENSG00000270728,ENSG00000270728
chr1,AKR7A2,ENSG00000053371
chr1,RNU6-1099P,ENSG00000200403
chr1,SLC66A1,ENSG00000040487
chr1,CAPZB,ENSG00000077549
chr1,RN7SL277P,ENSG00000240490
chr1,MICOS10,ENSG00000173436
chr1,RNU4-28P,ENSG00000201609
chr1,MICOS10-DT,ENSG00000235185
chr1,NBL1,ENSG00000158747
chr1,MICOS10-NBL1,ENSG00000270136
chr1,ENSG00000226396,ENSG00000226396
chr1,HTR6,ENSG00000158748
chr1,TMCO4,ENSG00000162542
chr1,RNF186,ENSG00000178828
chr1,RNF186-AS1,ENSG00000235434
chr1,OTUD3,ENSG00000169914
chr1,PLA2G2E,ENSG00000188784
chr1,RN7SL304P,ENSG00000242688
chr1,PLA2G2A,ENSG00000188257
chr1,PLA2G5,ENSG00000127472
chr1,PLA2G2D,ENSG00000117215
chr1,PLA2G2F,ENSG00000158786
chr1,ENSG00000227066,ENSG00000227066
chr1,PLA2G2C,ENSG00000187980
chr1,UBXN10,ENSG00000162543
chr1,LINC01757,ENSG00000228105
chr1,ENSG00000284710,ENSG00000284710
